Brasil,228 413.0,48 321.7,232.6,84 575.5,82 640.3,6 549.7,2 265.0,1 031.8,1 230.2,1 566.2
Norte,11 067.1,6 279.0,56.3,3 133.9,1 468.8,5,0,8.1,95.6,20.4
Porto Velho,193.4,193.4,0,0,0,0,0,0,0,0
Rio Branco,236.2,0,0,0,236.2,0,0,0,0,0
Manaus,2 400.0,0,0,2 400.0,0,0,0,0,0,0
Boa Vista,105,105,0,0,0,0,0,0,0,0
Belém,2 012.0,832,0,300,880,0,0,0,0,0
Região Metropolitana de Belém,2 697.0,1 517.0,0,300,880,0,0,0,0,0
Macapá,380,380,0,0,0,0,0,0,0,0
Palmas,81,0,0,81,0,0,0,0,0,0
Nordeste,41 557.8,20 043.5,45,6 071.9,15 030.1,74,92.5,22.4,128.4,50
São Luís,740,0,0,0,740,0,0,0,0,0
Região Metropolitana Grande São Luís,750,10,0,0,740,0,0,0,0,0
Teresina,1 059.5,0,0,996.7,62.8,0,0,0,0,0
Fortaleza,2 375.0,0,0,0,2 375.0,0,0,0,0,0
Região Metropolitana de Fortaleza,7 211.2,103,0,7.2,7 101.0,0,0,0,0,0
Natal,1 223.5,0,0,1 223.0,0,0.5,0,0,0,0
Região Metropolitana de Natal,1 385.5,27,0,1 318.0,40,0.5,0,0,0,0
João Pessoa,1 027.9,1 027.9,0,0,0,0,0,0,0,0
Recife,1 376.0,0,0,0,1 376.0,0,0,0,0,0
Região Metropolitana de Recife,3 221.0,675.4,0,330,2 099.3,35,30,1.3,0,50
Maceió,1 592.0,542,0,1 050.0,0,0,0,0,0,0
Região Metropolitana de Maceió,1 773.0,708,0,1 065.0,0,0,0,0,0,0
Aracaju,410,0,0,410,0,0,0,0,0,0
Salvador,2 490.5,0,0,0,2 476.5,0,14,0,0,0
Região Metropolitana de Salvador,2 940.5,0,0,210.2,2 716.3,0,14,0,0,0
Sudeste,141 616.8,13 755.9,86.6,65 851.4,52 542.3,5 437.9,1 262.9,945.2,781.4,953.2
Belo Horizonte,4 920.6,0,0,400,4 227.6,3.7,16.3,0,0,273
Região Metropolitana de Belo Horizonte,6 889.7,403,0,1 604.1,4 368.6,18.7,26.3,0,196,273
Colar Metropolitano da Região Metropolitana de Belo Horizonte,186.1,102.2,0,54.2,0,0,14.4,0.3,15,0
Região Metropolitana Vale do Aço,402,202,0,0,140,60,0,0,0,0
Colar Metropolitano da Região Metropolitana Vale do Aço,59.7,43.5,0,14.8,0,0.4,1,0,0,0
Vitória,318,0,0,3,295,0,20,0,0,0
Região Metropolitana Grande Vitória,1 465.8,135,0,273,1 000.5,0,20,0,37.3,0
Rio de Janeiro,8 343.0,0,0,1 951.0,6 124.0,268,0,0,0,0
Região Metropolitana do Rio de Janeiro,13 429.4,3 313.0,20,3 020.4,6 805.0,268,0,3,0,0
São Paulo,20 150.2,0,0,0,15 426.5,4 290.0,331,102.7,0,0
Região Metropolitana de São Paulo,83 066.9,491,0,51 669.9,25 111.7,4 290.0,346.1,635.9,1,521.3
Região Metropolitana Baixada Santista,1 659.1,150,0,995.8,511.5,0,0.5,1.3,0,0
Região Metropolitana de Campinas,3 508.2,63,10,920.2,2 485.1,0,21.8,2.1,0,6
Sul,19 874.8,5 112.3,36.7,4 833.9,8 046.0,347.2,832.6,30.1,119.9,516.1
Curitiba,1 548.9,0,0,0,1 547.5,0,0,1.4,0,0
Região Metropolitana de Curitiba,2 131.8,114,0,7.5,1 982.4,25,1.5,1.4,0,0
Região Metropolitana de Londrina,838.9,410.8,0,415.1,0,0,13,0,0,0
Região Metropolitana de Maringá,460.9,443.7,7,1.2,9,0,0,0,0,0
Florianópolis,435,0,0,0,435,0,0,0,0,0
Núcleo Metropolitano da Região Metropolitana de Florianópolis,710.7,0,0,42.5,668.2,0,0,0,0,0
Área de Expansão Metropolitana da Região Metropolitana de Florianópolis,78.8,43.6,0,14.1,20,0,1,0.1,0,0
Núcleo Metropolitano da Região Metropolitana do Vale do Itajaí,601.2,0,0,497.3,95,0,8.9,0,0,0
Área de Expansão Metropolitana da Região Metropolitana do Vale do Itajaí,180.1,8,0,43.1,76,0,3,0,50,0
Núcleo Metropolitano da Região Metropolitana Norte/Nordeste Catarinense,514.3,16.1,0,0,498.2,0,0,0,0,0
Área de Expansão Metropolitana da Região Metropolitana Norte/Nordeste Catarinense,345.4,86.8,0,176.9,80,0,1.5,0.2,0,0
Porto Alegre,1 610.0,0,0,0,1 050.0,0,60,0,0,500
Região Metropolitana de Porto Alegre,3 566.2,75.5,0,753.5,1 963.4,8.7,250.1,10,0,505
Centro-Oeste,14 296.5,3 131.0,8,4 684.4,5 553.1,685.6,77,26,104.9,26.5
Campo Grande,496.4,46.4,0,450,0,0,0,0,0,0
Cuiabá,630,0,0,0,442,164,24,0,0,0
Goiânia,3 270.0,0,0,0,3 270.0,0,0,0,0,0
Região Metropolitana de Goiânia,3 709.7,63.7,0,124,3 522.0,0,0,0,0,0
Brasília,2 567.2,0,0,2 021.9,0,521.6,0,23.7,0,0
